rank,candidate_id,score,matched_skill_count,github_activity_score,recruiter_response_rate,semantic,kw_hits,avg_tenure
1,CAND_0018499,0.63887,10,94.8,0.61,0.3549,20,26.0
2,CAND_0071974,0.63306,15,82.8,0.76,0.3254,23,34.0
3,CAND_0099806,0.61773,11,86.9,0.76,0.368,18,27.0
4,CAND_0002025,0.61389,9,96.9,0.8,0.3246,20,35.0
5,CAND_0088025,0.60868,11,74.6,0.83,0.3573,18,38.2
6,CAND_0062247,0.59999,10,52.7,0.78,0.3781,17,43.5
7,CAND_0046064,0.59764,7,67.3,0.78,0.3538,24,35.2
8,CAND_0046525,0.59471,8,36.7,0.88,0.3661,18,36.5
9,CAND_0007009,0.59181,10,69.2,0.62,0.321,21,31.2
10,CAND_0052328,0.58785,8,77.6,0.79,0.3315,16,38.5
11,CAND_0081846,0.58705,10,33.7,0.73,0.3427,20,39.5
12,CAND_0042029,0.58568,8,78.7,0.67,0.3591,19,39.0
13,CAND_0036184,0.58257,9,43.2,0.9,0.3358,16,35.5
14,CAND_0005260,0.58191,10,-1.0,0.86,0.3448,20,30.5
15,CAND_0045250,0.57638,10,-1.0,0.74,0.3525,19,39.0
16,CAND_0020877,0.57616,9,74.4,0.66,0.3444,20,30.0
17,CAND_0070398,0.5733,10,63.1,0.6,0.3805,19,28.8
18,CAND_0044222,0.57242,9,28.9,0.6,0.3728,21,46.0
19,CAND_0008425,0.57239,10,53.3,0.66,0.3371,21,32.6
20,CAND_0041669,0.57187,10,70.9,0.77,0.3187,18,36.8
21,CAND_0028793,0.57003,9,83.1,0.57,0.3659,21,31.4
22,CAND_0011687,0.56861,7,76.3,0.89,0.3254,22,46.0
23,CAND_0030031,0.56775,11,32.4,0.94,0.322,17,21.4
24,CAND_0044855,0.56575,11,46.7,0.57,0.3246,20,26.2
25,CAND_0064326,0.56189,6,61.4,0.94,0.3377,16,24.3
26,CAND_0083307,0.56047,9,69.2,0.7,0.3667,21,27.2
27,CAND_0065195,0.55909,7,87.3,0.8,0.3715,14,30.5
28,CAND_0049538,0.55733,7,90.8,0.72,0.3349,13,25.4
29,CAND_0006418,0.55468,7,59.7,0.92,0.3425,15,33.5
30,CAND_0077337,0.55331,12,68.0,0.95,0.3252,21,19.3
31,CAND_0037944,0.54994,9,83.0,0.42,0.3312,19,29.0
32,CAND_0086022,0.54981,11,75.2,0.55,0.3143,22,31.5
33,CAND_0047721,0.54972,10,90.1,0.49,0.3207,13,42.0
34,CAND_0011162,0.54938,11,34.3,0.75,0.3287,20,24.2
35,CAND_0077285,0.54849,11,75.6,0.56,0.3015,18,24.4
36,CAND_0094056,0.54847,9,64.8,0.82,0.364,18,35.0
37,CAND_0017960,0.53829,6,92.4,0.72,0.336,19,33.2
38,CAND_0039838,0.53801,11,36.3,0.8,0.2893,19,29.0
39,CAND_0066999,0.538,7,94.4,0.63,0.2962,11,35.0
40,CAND_0029367,0.53798,8,39.8,0.77,0.3498,17,25.2
41,CAND_0076163,0.53777,8,84.6,0.84,0.315,13,41.0
42,CAND_0054123,0.5317,7,71.5,0.87,0.3235,17,27.5
43,CAND_0081852,0.52978,7,87.9,0.44,0.3446,13,35.0
44,CAND_0094759,0.52971,10,76.2,0.11,0.3497,21,32.2
45,CAND_0075249,0.52655,7,36.8,0.82,0.3251,19,37.0
46,CAND_0051615,0.52512,7,94.6,0.88,0.3248,9,27.0
47,CAND_0091909,0.52504,7,49.7,0.65,0.3205,17,41.0
48,CAND_0037566,0.52469,6,73.4,0.5,0.3427,13,41.0
49,CAND_0039383,0.5242,8,86.4,0.61,0.3321,17,26.2
50,CAND_0079387,0.52334,8,64.1,0.81,0.3246,21,20.8
51,CAND_0081053,0.51991,8,77.7,0.83,0.3045,16,32.0
52,CAND_0015578,0.51857,9,27.7,0.65,0.3428,12,32.0
53,CAND_0005649,0.51797,7,80.7,0.57,0.3703,21,19.7
54,CAND_0008295,0.51585,4,50.7,0.89,0.3398,12,38.5
55,CAND_0033861,0.51363,11,32.6,0.16,0.3708,27,32.8
56,CAND_0061265,0.51303,7,79.8,0.94,0.3535,18,26.8
57,CAND_0052682,0.50912,5,72.4,0.88,0.3136,12,39.0
